file_id,comment_id,comment_date,anonymized_nickname,document_paragraph_text,document_selected_text,document_selected_sentences,comment_full_text,comment_sentence_text,is_sentence,num_sentence,total_sentences,grammar_checked,grammatical_errors,has_replies,is_reply,num_reply,num_replies,is_resolved,language_name,num_hyperlinks,num_images,spelling_checked,spelling_errors,tracked_changes,next_action,level_0,level_1,level_2,level_3,level_4,date_column,time_column,gemini_responses
ed88fa24-1a89-44fb-9a66-c7f554d87f5d,ffc97358-69e6-48fb-aaf0-6a844e26f653,2013-04-09 09:30:00+00:00 00:00:00+00:00,Editor,"The experiments were carried out in a fluidized bed reactor (FBR). As shown in Figure 1, a glass column with a diameter of 20 mm and length of 250 mm was employed as the reactor. The total volume of the reactor was 78 ml. A circulation pump was installed to maintain an upward flow of at least 50 m/h to fluidize CMA-chitosan. The hydraulic retention time (HRT) was changed by varying the flow rate of the influent and effluent pumps. The solution pH was adjusted to the designated values by adding 0.1 N HCl and NaOH solutions to the reservoir of raw wastewater. The reservoir was magnetically stirred and maintained at desired temperature (4–45°C). H2O2 (0.02–1.02 mol/L) was added at once initiating the reaction. Effluent was withdrawn continuously from the top of the reactor, and 5 mL aliquots were withdrawn as sample at designated time intervals. It was mixed with 0.1 g MnO2 to eliminate residual H2O2 [3], and filtered using 0.22-μm membranes to analyze the reaction mixture. The effluent was withdrawn from a point about 3 cm above the circulation pump to avoid the carry over effect of CMA–chitosan.",,1.0,Ok?,Ok?,0,0,1,1,0,0,0,0,0,0,en,0,0,1.0,0.0,2.0,KEEP,INFORMATION EXCHANGE,REQUESTED,REQUESTING_CONFIRMATION,POTENTIAL_CHANGE,,2013-04-09,09:30:00,"Level 0: Information Exchange, Level 1: Feedback, Level 2: Requesting Confirmation, Level 3: Not Explicit, Level 4: None"
0c9c7a44-8bae-4bcf-a271-1b54ab0ef41e,ffa706dc-4877-492d-ac74-598d5f4d07c5,2011-12-08 15:51:00+00:00 00:00:00+00:00,Alicia R. Dalton-Tingler,"In addition to the work mentioned above, the Executive Committee and staff of EISPC meet weekly with EIPC and SSC leadership to coordinate schedules, and discuss upcoming work, meeting logistics, agendas, task schedules, and deliverable positioning.  This close coordination is beneficial and will continue throughout the remainder of the projects.",,1.0,"This has been discussed in the Executive Summary via a table and will likely be covered in great depth later in this report.  It is, however, very out of place sitting here.",This has been discussed in the Executive Summary via a table and will likely be covered in great depth later in this report.,1,0,2,1,0,0,0,0,0,0,en,0,0,0.0,0.0,1.0,KEEP,MODIFICATION,EXECUTION,PROMISE,,,2011-12-08,15:51:00,"Level 0: Information Exchange, Level 1: Feedback, Level 2: Context, Level 3: Potential Change, Level 4: Change"
0c9c7a44-8bae-4bcf-a271-1b54ab0ef41e,ffa706dc-4877-492d-ac74-598d5f4d07c5,2011-12-08 15:51:00+00:00 00:00:00+00:00,Alicia R. Dalton-Tingler,"In addition to the work mentioned above, the Executive Committee and staff of EISPC meet weekly with EIPC and SSC leadership to coordinate schedules, and discuss upcoming work, meeting logistics, agendas, task schedules, and deliverable positioning.  This close coordination is beneficial and will continue throughout the remainder of the projects.",,1.0,"This has been discussed in the Executive Summary via a table and will likely be covered in great depth later in this report.  It is, however, very out of place sitting here.","It is, however, very out of place sitting here.",1,1,2,1,0,0,0,0,0,0,en,0,0,0.0,0.0,1.0,KEEP,SOCIAL COMMUNICATION,DISCUSSION,CONTENT,NOT_POTENTIAL_CHANGE,,2011-12-08,15:51:00,"Level 0: Information Exchange, Level 1: Feedback, Level 2: Context, Level 3: Potential Change, Level 4: Change"
0c9c7a44-8bae-4bcf-a271-1b54ab0ef41e,ffa706dc-4877-492d-ac74-598d5f4d07c5,2011-12-08 15:51:00+00:00 00:00:00+00:00,Alicia R. Dalton-Tingler,"In addition to the work mentioned above, the Executive Committee and staff of EISPC meet weekly with EIPC and SSC leadership to coordinate schedules, and discuss upcoming work, meeting logistics, agendas, task schedules, and deliverable positioning.  This close coordination is beneficial and will continue throughout the remainder of the projects.",,1.0,"This has been discussed in the Executive Summary via a table and will likely be covered in great depth later in this report.  It is, however, very out of place sitting here.","This has been discussed in the Executive Summary via a table and will likely be covered in great depth later in this report.  It is, however, very out of place sitting here.",0,2,2,1,0,0,0,0,0,0,en,0,0,0.0,0.0,1.0,KEEP,MODIFICATION,REQUESTED,CONTENT,EXPLICIT,,2011-12-08,15:51:00,"Level 0: Information Exchange, Level 1: Feedback, Level 2: Context, Level 3: Potential Change, Level 4: Change"
f5208894-9572-4cb8-b023-00b3c03cee89,ff533813-4050-424d-8e01-3c8dbb392f4d,2016-03-09 15:05:00+00:00 00:00:00+00:00,Alannah Kittle,,,1.0,"CODING

Code qualitative data for WAVGUAGE03A","CODING

Code qualitative data for WAVGUAGE03A",0,0,1,1,0,0,0,0,0,0,it,0,0,1.0,0.0,0.0,KEEP,INFORMATION EXCHANGE,PROVIDED,REFERENCE,POTENTIAL_CHANGE,,2016-03-09,15:05:00,"Level 0: Modification, Level 1: Execution, Level 2: Content, Level 3: Not Potential Change, Level 4: None"
5d04447a-6068-430d-9193-05e4743cbf58,ff4fdbfa-33ea-4899-b986-0c3a82e90121,2011-07-11 09:17:00+00:00 00:00:00+00:00,rogers,,,1.0,"The PROPOSAL section is not to be bound within the Contract Book, but is to be included with the Bid documents under separate cover for use by the Bidder for submission of their bid.","The PROPOSAL section is not to be bound within the Contract Book, but is to be included with the Bid documents under separate cover for use by the Bidder for submission of their bid.",0,0,1,0,0,0,0,0,0,0,en,0,0,1.0,0.0,0.0,KEEP,MODIFICATION,REQUESTED,CONTENT,EXPLICIT,CHANGE,2011-07-11,09:17:00,"Level 0: Information Exchange, Level 1: Provided, Level 2: Content, Level 3: Not Potential Change, Level 4: None"
d93997ef-c807-4c06-a1a7-b0d3fb434524,ff1198ce-c898-45f0-a213-5a63c2b4f56c,2012-08-06 12:26:00+00:00 00:00:00+00:00,COMMENT,"D.  Fixed Index Price:  A fixed index price of   $ 000.00   per ton of performance-graded binder which equals the current monthly average FOB terminal price for unmodified PG 64-22 binder, without anti-stripping agent.  This fixed index price is used solely as a base from which to compute any price adjustments.",,1.0,Insert most recent fixed index price.,Insert most recent fixed index price.,0,0,1,0,0,0,0,0,0,0,en,0,0,1.0,0.0,0.0,KEEP,MODIFICATION,REQUESTED,CONTENT,EXPLICIT,ADD,2012-08-06,12:26:00,"Level 0: Modification, Level 1: Requested, Level 2: Content, Level 3: Explicit, Level 4: Add"
1e7ce1fe-4303-4d19-a167-7d2d50de44a4,ff0b7f10-c147-44dd-9dbd-c5fbf1ce9044,2009-11-04 21:36:00+00:00 00:00:00+00:00,D. C. Toedt,Provider's AGGREGATE LIABILITY for indemnity and defense against infringement claims is limited to <X times the amount(s) paid for the accused product>.[WARINFRINDMLBMX] †,AGGREGATE LIABILITY,1.0,*  This clause is likely to be contentious. It's shaded in gray to make it conspicuous.,*  This clause is likely to be contentious. It's shaded in gray to make it conspicuous.,0,2,2,0,1,0,0,0,0,0,en,0,0,1.0,0.0,0.0,KEEP,INFORMATION EXCHANGE,PROVIDED,CONTEXT,NOT_POTENTIAL_CHANGE,,2009-11-04,21:36:00,"Level 0: Information Exchange, Level 1: Provided, Level 2: Context, Level 3: Not Potential Change, Level 4: None"
1e7ce1fe-4303-4d19-a167-7d2d50de44a4,ff0b7f10-c147-44dd-9dbd-c5fbf1ce9044,2009-11-04 21:36:00+00:00 00:00:00+00:00,D. C. Toedt,Provider's AGGREGATE LIABILITY for indemnity and defense against infringement claims is limited to <X times the amount(s) paid for the accused product>.[WARINFRINDMLBMX] †,AGGREGATE LIABILITY,1.0,*  This clause is likely to be contentious. It's shaded in gray to make it conspicuous.,*  This clause is likely to be contentious.,1,0,2,0,1,0,0,0,0,0,en,0,0,1.0,0.0,0.0,KEEP,INFORMATION EXCHANGE,PROVIDED,CONTEXT,POTENTIAL_CHANGE,,2009-11-04,21:36:00,"Level 0: Information Exchange, Level 1: Provided, Level 2: Context, Level 3: Not Potential Change, Level 4: None"
1e7ce1fe-4303-4d19-a167-7d2d50de44a4,ff0b7f10-c147-44dd-9dbd-c5fbf1ce9044,2009-11-04 21:36:00+00:00 00:00:00+00:00,D. C. Toedt,Provider's AGGREGATE LIABILITY for indemnity and defense against infringement claims is limited to <X times the amount(s) paid for the accused product>.[WARINFRINDMLBMX] †,AGGREGATE LIABILITY,1.0,*  This clause is likely to be contentious. It's shaded in gray to make it conspicuous.,It's shaded in gray to make it conspicuous.,1,1,2,0,1,0,0,0,0,0,en,0,0,1.0,0.0,0.0,KEEP,INFORMATION EXCHANGE,PROVIDED,CONTEXT,POTENTIAL_CHANGE,,2009-11-04,21:36:00,"Level 0: Information Exchange, Level 1: Provided, Level 2: Context, Level 3: Not Potential Change, Level 4: None"
